source_type,title,url,publisher,checked_date,use
official competitor,DelightChat Pricing,https://www.delightchat.io/pricing,DelightChat,2026-07-24,"Primary evidence for current plan presentation, quotas, channels, Shopify features, WhatsApp charges, mobile apps and add-ons"
official competitor,DelightChat Help Center,https://www.delightchat.io/help-center,DelightChat,2026-07-24,"Primary feature documentation for inbox, channels, Shopify, AI, automation and mobile"
official competitor,How to integrate WhatsApp API on DelightChat,https://www.delightchat.io/help-center/integrate-whatsapp-on-delightchat,DelightChat,2026-07-24,"WhatsApp API setup and marketing workflow evidence"
official competitor,Understanding the Support Inbox,https://www.delightchat.io/help-center/support-inbox-guide,DelightChat,2026-07-24,"Ticket states, assignment, internal comments, tags and Shopify context"
official competitor,Does DelightChat have an iOS app?,https://www.delightchat.io/help-center/does-delightchat-have-an-ios-app-yes,DelightChat,2026-07-24,"Confirms current iOS and Android app availability"
competitor coverage,Top DelightChat Alternatives and Competitors,https://www.g2.com/products/delightchat/competitors/alternatives,G2,2026-07-24,"Search-intent and comparison-format review only"
competitor coverage,Top 7 DelightChat Alternatives for AI Customer Support,https://corebee.ai/alternatives/delightchat-alternatives,Corebee,2026-07-24,"Competitor outline review; vendor claims not adopted without verification"
competitor coverage,Best DelightChat Alternative in 2026,https://whautomate.com/compare/whautomate-vs-delightchat,Whautomate,2026-07-24,"Comparison structure review only"
competitor coverage,Top 5 DelightChat Alternatives and Competitors,https://www.quickreply.ai/others/delightchat-alternative,QuickReply.ai,2026-07-24,"D2C comparison coverage and stale-claim review"
competitor coverage,10 Best DelightChat Alternatives for 2025,https://www.zoko.io/post/delightchat-alternatives,Zoko,2026-07-24,"Listicle coverage and stale-claim review"
internal product,TalkWagon Pricing,https://talkwagon.chat/pricing,TalkWagon,2026-07-24,"Current TalkWagon price, team limits and broadcast allowance"
internal product,TalkWagon Features,https://talkwagon.chat/features,TalkWagon,2026-07-24,"Verified TalkWagon CRM functionality"
internal product,TalkWagon Team Inbox,https://talkwagon.chat/features/team-inbox,TalkWagon,2026-07-24,"Shared inbox, assignment and permission evidence"
internal product,TalkWagon Automation,https://talkwagon.chat/features/automation,TalkWagon,2026-07-24,"Automation capability evidence"
internal product,TalkWagon Flows,https://talkwagon.chat/features/flows,TalkWagon,2026-07-24,"Visual flow and handoff capability evidence"
internal product,TalkWagon Broadcasts,https://talkwagon.chat/features/broadcasts,TalkWagon,2026-07-24,"Broadcast workflow and tracking evidence"
official policy,WhatsApp Business Platform Pricing,https://developers.facebook.com/docs/whatsapp/pricing,Meta,2026-07-24,"Separate Meta messaging charges and current policy context"
